"V1","V2","V3","V4","V5"
0.778,0.766,0.816,0.81,0.77
0.778,0.758,0.808,0.81,0.77
0.778,0.77,0.812,0.808,0.768
0.788,0.768,0.804,0.81,0.776
0.788,0.772,0.802,0.812,0.782
0.734,0.778,0.762,0.84,0.77
0.734,0.778,0.768,0.848,0.77
0.734,0.768,0.764,0.834,0.776
0.734,0.776,0.782,0.846,0.776
0.732,0.784,0.774,0.844,0.774
0.722,0.774,0.778,0.844,0.772
0.73,0.77,0.774,0.844,0.76
0.728,0.762,0.764,0.84,0.764
0.722,0.756,0.76,0.838,0.756
0.728,0.756,0.76,0.83,0.754
0.77,0.792,0.8,0.818,0.794
0.77,0.796,0.802,0.814,0.798
0.77,0.798,0.8,0.822,0.796
0.77,0.8,0.796,0.822,0.796
0.77,0.792,0.796,0.832,0.8
0.772,0.794,0.808,0.828,0.796
0.772,0.796,0.8,0.828,0.798
0.772,0.788,0.802,0.83,0.804
0.772,0.786,0.806,0.828,0.798
0.776,0.786,0.796,0.826,0.8
0.782,0.788,0.814,0.786,0.824
0.778,0.778,0.808,0.786,0.826
0.778,0.78,0.804,0.778,0.824
0.782,0.774,0.808,0.786,0.82
0.778,0.778,0.804,0.776,0.822
0.782,0.78,0.802,0.776,0.824
0.788,0.78,0.808,0.778,0.82
0.786,0.778,0.808,0.778,0.822
0.782,0.778,0.802,0.784,0.822
0.782,0.778,0.806,0.784,0.824
0.76,0.774,0.808,0.74,0.806
0.762,0.774,0.81,0.744,0.802
0.762,0.774,0.81,0.738,0.802
0.768,0.776,0.8,0.736,0.804
0.762,0.776,0.808,0.734,0.804
0.762,0.776,0.802,0.736,0.8
0.762,0.776,0.804,0.736,0.806
0.762,0.774,0.796,0.738,0.802
0.76,0.774,0.796,0.738,0.806
0.762,0.774,0.804,0.738,0.804
0.78,0.766,0.786,0.798,0.806
0.78,0.768,0.776,0.796,0.804
0.78,0.77,0.766,0.796,0.802
0.78,0.768,0.772,0.796,0.804
0.78,0.768,0.764,0.796,0.796
0.778,0.768,0.762,0.796,0.804
0.778,0.768,0.778,0.8,0.804
0.778,0.772,0.788,0.8,0.8
0.778,0.772,0.784,0.8,0.798
0.778,0.776,0.778,0.8,0.8
0.738,0.824,0.814,0.8,0.808
0.738,0.824,0.816,0.808,0.804
0.742,0.824,0.818,0.816,0.804
0.746,0.818,0.818,0.802,0.804
0.746,0.826,0.822,0.814,0.804
0.746,0.824,0.82,0.81,0.802
0.746,0.822,0.816,0.82,0.808
0.738,0.818,0.818,0.822,0.804
0.738,0.816,0.822,0.81,0.804
0.746,0.812,0.82,0.81,0.802
0.738,0.818,0.8,0.806,0.822
0.734,0.818,0.798,0.81,0.824
0.73,0.818,0.796,0.808,0.828
0.73,0.812,0.788,0.806,0.83
0.734,0.814,0.792,0.804,0.824
0.73,0.822,0.81,0.808,0.822
0.73,0.822,0.798,0.812,0.824
0.73,0.82,0.794,0.808,0.822
0.74,0.816,0.794,0.804,0.828
0.736,0.826,0.79,0.81,0.824
0.764,0.78,0.788,0.808,0.784
0.764,0.772,0.788,0.808,0.792
0.764,0.78,0.78,0.804,0.786
0.764,0.774,0.78,0.81,0.79
0.764,0.788,0.782,0.804,0.796
0.764,0.782,0.782,0.802,0.79
0.764,0.786,0.784,0.808,0.786
0.766,0.796,0.782,0.806,0.784
0.764,0.792,0.786,0.81,0.782
0.766,0.788,0.784,0.81,0.786
0.772,0.786,0.824,0.84,0.832
0.78,0.784,0.824,0.846,0.828
0.776,0.784,0.822,0.85,0.83
0.772,0.778,0.822,0.846,0.83
0.772,0.774,0.822,0.844,0.83
0.772,0.768,0.824,0.846,0.83
0.772,0.76,0.826,0.844,0.82
0.772,0.766,0.822,0.844,0.826
0.778,0.756,0.822,0.844,0.826
0.778,0.76,0.824,0.836,0.828
0.77,0.794,0.818,0.806,0.806
0.77,0.796,0.82,0.804,0.808
0.77,0.798,0.818,0.804,0.806
0.77,0.796,0.822,0.804,0.808
0.77,0.782,0.826,0.806,0.808
0.77,0.784,0.818,0.804,0.814
0.768,0.79,0.826,0.8,0.81
0.77,0.788,0.824,0.802,0.81
0.77,0.782,0.822,0.802,0.81
0.77,0.786,0.818,0.804,0.808
0.76,0.782,0.826,0.764,0.8
0.76,0.788,0.82,0.764,0.802
0.758,0.786,0.828,0.764,0.802
0.758,0.78,0.828,0.764,0.8
0.758,0.774,0.822,0.764,0.802
0.76,0.766,0.828,0.76,0.812
0.76,0.764,0.82,0.764,0.806
0.76,0.76,0.818,0.762,0.798
0.76,0.768,0.818,0.764,0.802
0.758,0.772,0.818,0.764,0.804
0.748,0.806,0.822,0.822,0.792
0.748,0.802,0.822,0.822,0.788
0.748,0.8,0.822,0.826,0.794
0.748,0.802,0.822,0.822,0.794
0.748,0.808,0.824,0.822,0.792
0.748,0.808,0.822,0.826,0.796
0.746,0.804,0.824,0.82,0.8
0.748,0.806,0.822,0.82,0.804
0.748,0.794,0.824,0.818,0.794
0.748,0.796,0.832,0.822,0.798
0.762,0.762,0.816,0.802,0.818
0.76,0.766,0.812,0.806,0.812
0.76,0.768,0.81,0.8,0.816
0.76,0.782,0.81,0.802,0.83
0.764,0.782,0.806,0.802,0.834
0.776,0.766,0.802,0.8,0.824
0.772,0.77,0.806,0.802,0.824
0.76,0.77,0.806,0.802,0.828
0.762,0.77,0.806,0.808,0.816
0.76,0.77,0.806,0.808,0.814
0.768,0.774,0.794,0.788,0.824
0.768,0.77,0.794,0.8,0.814
0.768,0.776,0.806,0.804,0.816
0.768,0.774,0.808,0.8,0.81
0.768,0.772,0.8,0.79,0.808
0.768,0.78,0.81,0.792,0.81
0.768,0.784,0.808,0.796,0.814
0.768,0.782,0.81,0.792,0.818
0.768,0.786,0.81,0.794,0.818
0.768,0.776,0.806,0.8,0.814
0.78,0.814,0.82,0.802,0.84
0.78,0.82,0.822,0.802,0.836
0.78,0.812,0.828,0.8,0.836
0.78,0.816,0.826,0.798,0.83
0.78,0.834,0.828,0.8,0.838
0.78,0.828,0.826,0.8,0.834
0.78,0.81,0.832,0.8,0.836
0.78,0.816,0.832,0.798,0.844
0.78,0.808,0.828,0.8,0.84
0.778,0.808,0.828,0.798,0.838
0.77,0.772,0.806,0.794,0.78
0.77,0.772,0.804,0.796,0.784
0.77,0.774,0.812,0.794,0.782
0.77,0.776,0.81,0.794,0.784
0.77,0.776,0.81,0.794,0.774
0.772,0.784,0.804,0.796,0.772
0.772,0.778,0.806,0.794,0.774
0.77,0.778,0.806,0.794,0.778
0.77,0.78,0.808,0.796,0.782
0.77,0.778,0.81,0.794,0.788
0.734,0.796,0.806,0.796,0.808
0.734,0.796,0.806,0.796,0.812
0.734,0.8,0.804,0.794,0.806
0.734,0.792,0.806,0.794,0.808
0.734,0.79,0.81,0.796,0.806
0.732,0.796,0.806,0.794,0.816
0.728,0.788,0.806,0.796,0.81
0.728,0.788,0.806,0.796,0.812
0.728,0.792,0.806,0.796,0.808
0.728,0.796,0.8,0.798,0.806
0.782,0.764,0.816,0.818,0.84
0.782,0.762,0.816,0.818,0.842
0.782,0.764,0.816,0.818,0.842
0.782,0.764,0.816,0.818,0.844
0.782,0.768,0.816,0.816,0.846
0.782,0.768,0.814,0.818,0.844
0.782,0.766,0.816,0.822,0.84
0.782,0.766,0.816,0.82,0.84
0.782,0.766,0.816,0.818,0.846
0.782,0.77,0.824,0.822,0.844
0.774,0.804,0.826,0.812,0.792
0.774,0.802,0.818,0.814,0.782
0.774,0.804,0.816,0.814,0.782
0.774,0.804,0.81,0.814,0.788
0.774,0.804,0.822,0.814,0.806
0.776,0.804,0.816,0.816,0.808
0.78,0.806,0.822,0.814,0.812
0.776,0.804,0.816,0.814,0.81
0.776,0.806,0.818,0.814,0.796
0.778,0.81,0.818,0.814,0.798
0.77,0.814,0.8,0.758,0.798
0.77,0.826,0.808,0.758,0.808
0.77,0.824,0.804,0.758,0.816
0.768,0.816,0.8,0.758,0.798
0.764,0.81,0.808,0.758,0.806
0.764,0.81,0.806,0.758,0.814
0.768,0.81,0.808,0.764,0.81
0.77,0.822,0.804,0.77,0.802
0.768,0.822,0.806,0.762,0.818
0.764,0.818,0.806,0.764,0.814
0.8,0.794,0.798,0.768,0.822
0.796,0.782,0.794,0.768,0.824
0.8,0.8,0.796,0.76,0.828
0.802,0.786,0.794,0.752,0.828
0.802,0.786,0.796,0.752,0.822
0.808,0.786,0.796,0.762,0.822
0.802,0.786,0.796,0.752,0.82
0.802,0.784,0.79,0.754,0.822
0.802,0.784,0.796,0.754,0.824
0.798,0.784,0.796,0.756,0.82
0.73,0.762,0.798,0.806,0.81
0.73,0.764,0.794,0.812,0.808
0.73,0.764,0.8,0.808,0.808
0.73,0.764,0.792,0.798,0.812
0.73,0.762,0.792,0.798,0.81
0.73,0.762,0.792,0.798,0.81
0.736,0.766,0.798,0.798,0.804
0.736,0.764,0.794,0.798,0.808
0.736,0.766,0.794,0.8,0.808
0.73,0.766,0.8,0.808,0.814
0.752,0.798,0.826,0.814,0.844
0.752,0.792,0.82,0.814,0.844
0.752,0.792,0.814,0.812,0.85
0.752,0.796,0.828,0.812,0.846
0.764,0.804,0.836,0.812,0.836
0.762,0.812,0.832,0.816,0.836
0.762,0.8,0.828,0.812,0.834
0.752,0.798,0.826,0.816,0.836
0.752,0.8,0.832,0.812,0.83
0.752,0.804,0.828,0.816,0.83
0.752,0.756,0.812,0.78,0.8
0.752,0.75,0.802,0.784,0.804
0.752,0.752,0.81,0.774,0.796
0.752,0.75,0.81,0.788,0.8
0.752,0.746,0.814,0.766,0.794
0.752,0.752,0.806,0.774,0.8
0.752,0.754,0.802,0.782,0.806
0.752,0.754,0.796,0.774,0.804
0.752,0.754,0.792,0.782,0.804
0.752,0.752,0.792,0.778,0.802
